,subset,mae,mse,rmse,R2
0,train,0.029657108709216118,0.0015158550813794136,0.03893398493528366,0.9719465970993042
1,train,0.023917367681860924,0.0009949582163244486,0.031542956829071045,0.9816592335700989
2,train,0.029948383569717407,0.0015724233817309141,0.03965379297733307,0.9711087942123413
3,train,0.025332551449537277,0.0011304081417620182,0.033621542155742645,0.9790861010551453
4,train,0.0371452271938324,0.0023786243982613087,0.04877114295959473,0.9562896490097046
5,train,0.028973128646612167,0.0014817524934187531,0.03849354013800621,0.9725656509399414
6,train,0.029063694179058075,0.0014679660089313984,0.03831404447555542,0.9729841947555542
7,train,0.029275739565491676,0.0015181247144937515,0.03896312043070793,0.971957802772522
8,train,0.029469996690750122,0.0015123136108741164,0.03888847678899765,0.9721354842185974
9,train,0.02469455823302269,0.0010757269337773323,0.03279827535152435,0.9802321791648865
10,train,0.03016463667154312,0.0015751102473586798,0.039687659591436386,0.9709399938583374
11,train,0.030424814671278,0.001568066654726863,0.039598822593688965,0.9711965918540955
12,train,0.0246695876121521,0.001065276563167572,0.03263857588171959,0.9803743362426758
13,train,0.0292801633477211,0.0015069613000378013,0.03881959989666939,0.972117006778717
14,train,0.02585498057305813,0.0011593207018449903,0.03404879942536354,0.978614330291748
15,train,0.02954532578587532,0.0015220338245853782,0.039013251662254333,0.9719942808151245
16,train,0.024192694574594498,0.0010241693817079067,0.03200264647603035,0.9811609983444214
17,train,0.018950995057821274,0.0006206537364050746,0.024912923574447632,0.9884856939315796
18,train,0.03660634905099869,0.002336219185963273,0.04833444952964783,0.9569287300109863
19,train,0.02909672074019909,0.0014879378722980618,0.038573797792196274,0.9726084470748901
20,train,0.02654825523495674,0.001208357629366219,0.03476144000887871,0.9777648448944092
21,train,0.024004193022847176,0.0010235876543447375,0.0319935567677021,0.9810145497322083
22,train,0.029222769662737846,0.0014880604576319456,0.03857538849115372,0.9725577235221863
23,train,0.029551222920417786,0.0015437727561220527,0.03929087519645691,0.9716144800186157
24,train,0.029618414118885994,0.0015493131941184402,0.039361316710710526,0.9714719653129578
25,valid,0.05136067420244217,0.005438631400465965,0.07374707609415054,0.9011755585670471
26,valid,0.04907023161649704,0.005087621510028839,0.0713275671005249,0.9060964584350586
27,valid,0.05120930075645447,0.005161693319678307,0.0718449279665947,0.9034700989723206
28,valid,0.048511214554309845,0.004943571984767914,0.07031054049730301,0.9100778102874756
29,valid,0.05595532804727554,0.006308284588158131,0.07942470908164978,0.8820769786834717
30,valid,0.049666859209537506,0.0049535734578967094,0.07038162648677826,0.9101488590240479
31,valid,0.0512862391769886,0.005395143758505583,0.07345164567232132,0.8997737169265747
32,valid,0.05135847628116608,0.005548255052417517,0.0744866132736206,0.898434042930603
33,valid,0.052584290504455566,0.005704175215214491,0.07552599161863327,0.8944886922836304
34,valid,0.04930175840854645,0.005169889889657497,0.07190194725990295,0.9033771753311157
35,valid,0.0521564856171608,0.005527954548597336,0.07435021549463272,0.8983237743377686
36,valid,0.05122298002243042,0.005246225278824568,0.07243083417415619,0.9017876982688904
37,valid,0.04847529157996178,0.0048977164551615715,0.06998368352651596,0.9094015955924988
38,valid,0.0506322905421257,0.005265978164970875,0.07256706058979034,0.9042435884475708
39,valid,0.04951614513993263,0.005319665186107159,0.0729360356926918,0.9020897746086121
40,valid,0.05173231288790703,0.0053896126337349415,0.07341398298740387,0.8997582197189331
41,valid,0.04761505126953125,0.004633985459804535,0.06807338446378708,0.9137380719184875
42,valid,0.04602845013141632,0.004702120553702116,0.06857200711965561,0.9153446555137634
43,valid,0.0561365932226181,0.0063926889561116695,0.07995429635047913,0.8820840120315552
44,valid,0.05018999055027962,0.005066019017249346,0.0711759701371193,0.906001627445221
45,valid,0.04890167713165283,0.00504094734787941,0.0709996297955513,0.9063013195991516
46,valid,0.04801322892308235,0.004853903781622648,0.06966996192932129,0.9125695824623108
47,valid,0.0514521524310112,0.0054044052958488464,0.0735146626830101,0.9004281759262085
48,valid,0.05022339150309563,0.005125212017446756,0.07159058749675751,0.9044421911239624
49,valid,0.05132875218987465,0.005512178875505924,0.07424405217170715,0.8978173136711121
