,subset,mae,mse,rmse,R2
0,train,0.027505243197083473,0.0013430960243567824,0.03664827346801758,0.9751437902450562
1,train,0.036923568695783615,0.0022061739582568407,0.046969927847385406,0.9593320488929749
2,train,0.026203026995062828,0.001235202420502901,0.03514544665813446,0.9773047566413879
3,train,0.028042634949088097,0.001364540890790522,0.03693969175219536,0.9747543931007385
4,train,0.05032806843519211,0.00444254744797945,0.06665243953466415,0.9183623790740967
5,train,0.030497314408421516,0.00161509751342237,0.040188275277614594,0.9700968265533447
6,train,0.03325103223323822,0.0019276188686490059,0.043904658406972885,0.9645249247550964
7,train,0.029176367446780205,0.0015429938212037086,0.039280958473682404,0.971498429775238
8,train,0.027800193056464195,0.0013838126324117184,0.037199631333351135,0.9745031595230103
9,train,0.030697908252477646,0.0015743836993351579,0.03967850282788277,0.9710687398910522
10,train,0.02678636461496353,0.0012658946216106415,0.035579413175582886,0.9766448736190796
11,train,0.03174830600619316,0.0018089371733367443,0.04253160208463669,0.9667720794677734
12,train,0.03477177396416664,0.0020752414129674435,0.04555481672286987,0.9617676734924316
13,train,0.026826852932572365,0.0012451621005311608,0.035286854952573776,0.9769610166549683
14,train,0.02794196456670761,0.0013657582458108664,0.03695616498589516,0.9748062491416931
15,train,0.03640327975153923,0.0023681819438934326,0.048663970082998276,0.9564250111579895
16,train,0.03215925768017769,0.001877768780104816,0.043333228677511215,0.9654595851898193
17,train,0.02843528240919113,0.0014035352505743504,0.03746378421783447,0.9739617109298706
18,train,0.02987908571958542,0.0014766930835321546,0.03842776268720627,0.9727752208709717
19,train,0.028266126289963722,0.0014075468061491847,0.03751728683710098,0.9740883708000183
20,train,0.03647799789905548,0.00230066548101604,0.04796525463461876,0.957665205001831
21,train,0.03174583613872528,0.0018028955673798919,0.04246051609516144,0.9665600061416626
22,train,0.043265700340270996,0.0033032656647264957,0.0574740432202816,0.9390823245048523
23,train,0.028485693037509918,0.0014285400975495577,0.037796031683683395,0.9737333059310913
24,train,0.030467404052615166,0.0015720011433586478,0.03964846953749657,0.971054196357727
25,valid,0.040651142597198486,0.0034960859920829535,0.05912771075963974,0.9364732503890991
26,valid,0.047438159584999084,0.004282104317098856,0.06543778628110886,0.9209640622138977
27,valid,0.03930512070655823,0.00319076469168067,0.05648685246706009,0.94032883644104
28,valid,0.04010465741157532,0.0033592761028558016,0.057959262281656265,0.9388957023620605
29,valid,0.05928574874997139,0.006620942149311304,0.08136916905641556,0.876232385635376
30,valid,0.04224466159939766,0.003586161881685257,0.05988457053899765,0.9349518418312073
31,valid,0.0450609065592289,0.003980393987149,0.06309036165475845,0.9260557293891907
32,valid,0.04142268747091293,0.0038363547064363956,0.06193831190466881,0.9297719597816467
33,valid,0.04218510165810585,0.003724504029378295,0.06102871522307396,0.9311071038246155
34,valid,0.04253525286912918,0.0037171023432165384,0.06096804514527321,0.9305291175842285
35,valid,0.03934507071971893,0.0033029830083251,0.057471584528684616,0.9392479062080383
36,valid,0.04366064444184303,0.003991290926933289,0.06317666172981262,0.9252808094024658
37,valid,0.045915380120277405,0.004163599107414484,0.06452595442533493,0.9229813814163208
38,valid,0.0402170866727829,0.003315754933282733,0.057582590728998184,0.9397063851356506
39,valid,0.04075102135539055,0.003436057595536113,0.05861789360642433,0.9367582201957703
40,valid,0.04827813059091568,0.0046791499480605125,0.06840430945158005,0.9129721522331238
41,valid,0.04400477185845375,0.0038448229897767305,0.0620066374540329,0.9284284114837646
42,valid,0.04133471101522446,0.0037816613912582397,0.06149521470069885,0.9319162964820862
43,valid,0.04190146550536156,0.0035389517433941364,0.059489089995622635,0.9347224831581116
44,valid,0.041151903569698334,0.003576665883883834,0.05980523303151131,0.9336360692977905
45,valid,0.04733792692422867,0.004299183376133442,0.06556815654039383,0.9200888872146606
46,valid,0.043365996330976486,0.0038558701053261757,0.062095653265714645,0.9305465817451477
47,valid,0.05379938706755638,0.005407891236245632,0.07353836297988892,0.9003639221191406
48,valid,0.039821021258831024,0.003259553574025631,0.05709249898791313,0.9392267465591431
49,valid,0.04279230162501335,0.0037963578943163157,0.061614591628313065,0.9296245574951172
