,subset,mae,mse,rmse,R2
0,train,0.022983640432357788,0.0009439347195439041,0.030723520624171705,0.982530951499939
1,train,0.024668842554092407,0.001081577967852354,0.032887352703620795,0.9800624847412109
2,train,0.023218827322125435,0.000982289551757276,0.0313414988754092,0.9819517135620117
3,train,0.023622944951057434,0.0009938019793480635,0.031524624967603714,0.9816135168075562
4,train,0.02958231419324875,0.0014904096024110913,0.03860582342615025,0.9726117849349976
5,train,0.027082910761237144,0.001273233094252646,0.03568239193569632,0.976426362991333
6,train,0.030617011711001396,0.0017193123931065202,0.04146459204075834,0.9683585166931152
7,train,0.035586822777986526,0.002241140929982066,0.04734069000323154,0.9586025476455688
8,train,0.030240684747695923,0.0016903288196772337,0.04111360869197976,0.9688555598258972
9,train,0.022847047075629234,0.0009324613492935896,0.03053623010938956,0.9828648567199707
10,train,0.02502330392599106,0.001108393189497292,0.033292539547131156,0.9795507192611694
11,train,0.025493381544947624,0.0011540524428710341,0.033971347380859565,0.9788014888763428
12,train,0.023369403555989265,0.0009737042128108442,0.03120423389238781,0.9820613861083984
13,train,0.025490833446383476,0.001125398208387196,0.03354695527744949,0.9791769981384277
14,train,0.023956310003995895,0.0010327189229428768,0.03213594440720355,0.9809497594833374
15,train,0.021571706980466843,0.0008508221944794059,0.029168856585053277,0.9843447208404541
16,train,0.022218048572540283,0.0008796855108812451,0.02965949276169849,0.9838187098503113
17,train,0.028493529185652733,0.0014577055117115378,0.03817990979182033,0.9729567766189575
18,train,0.023374078795313835,0.000996858230791986,0.031573061789949765,0.9816216230392456
19,train,0.022216321900486946,0.0008845065021887422,0.02974065403095134,0.9837170243263245
20,train,0.02269626036286354,0.0009432167862541974,0.030711834628595495,0.9826437830924988
21,train,0.022927964106202126,0.0009435186511836946,0.03071674870789053,0.9824996590614319
22,train,0.026581238955259323,0.001188917551189661,0.03448068374017054,0.9780743718147278
23,train,0.024736445397138596,0.001081474358215928,0.03288577744581885,0.9801148176193237
24,train,0.022275196388363838,0.0008935918449424207,0.029893006622660437,0.9835459589958191
25,valid,0.038136012852191925,0.003106206888332963,0.05573335525816621,0.9435576796531677
26,valid,0.04017086699604988,0.003500544000416994,0.059165395295028615,0.935389518737793
27,valid,0.04032650589942932,0.0034804081078618765,0.05899498375168754,0.9349121451377869
28,valid,0.039161358028650284,0.0032951938919723034,0.05740377942237169,0.9400613307952881
29,valid,0.04381638392806053,0.004140565637499094,0.06434722711585243,0.9225989580154419
30,valid,0.04168771579861641,0.003708733944222331,0.060899375565126534,0.9327285289764404
31,valid,0.04494435340166092,0.004092418123036623,0.06397201046580155,0.9239746332168579
32,valid,0.04822428151965141,0.004838001914322376,0.06955574681018367,0.9114359021186829
33,valid,0.044207632541656494,0.004056689329445362,0.06369214495874168,0.92496258020401
34,valid,0.038801562041044235,0.003384640673175454,0.058177664727758316,0.9367426633834839
35,valid,0.04010632261633873,0.003488166257739067,0.05906069977353017,0.9358417987823486
36,valid,0.04118078947067261,0.0037260656245052814,0.06104150739050668,0.9302459359169006
37,valid,0.03855176642537117,0.0032811269629746675,0.05728112222167673,0.9393054246902466
38,valid,0.040948305279016495,0.0036667624954134226,0.06055379835661362,0.9333236813545227
39,valid,0.03952111303806305,0.003369756508618593,0.058049603862718936,0.9379785060882568
40,valid,0.038634561002254486,0.0033614246640354395,0.05797779457719515,0.937480628490448
41,valid,0.03800008073449135,0.003080892376601696,0.05550578687489887,0.9426490068435669
42,valid,0.04303964599967003,0.003992185927927494,0.06318374734002008,0.9281260371208191
43,valid,0.04005628824234009,0.0035918864887207747,0.05993234926749305,0.9337460398674011
44,valid,0.03830631449818611,0.003265944542363286,0.05714844304408726,0.9394014477729797
45,valid,0.038799531757831573,0.0032747562509030104,0.057225486025922145,0.939130425453186
46,valid,0.03892618417739868,0.003291249740868807,0.05736941468124637,0.9407167434692383
47,valid,0.04215636104345322,0.003765268949791789,0.0613617873744873,0.9306279420852661
48,valid,0.039182037115097046,0.003256622003391385,0.057066820512372905,0.9392814040184021
49,valid,0.03849532827734947,0.003332332009449601,0.05772635454841749,0.9382265210151672
