,subset,mae,mse,rmse,R2
0,train,0.026368683204054832,0.0013334794202819467,0.03651683749014893,0.9753217697143555
1,train,0.021835001185536385,0.0008895718492567539,0.02982569109436953,0.9836018681526184
2,train,0.02778981626033783,0.0014154876116663218,0.037622966545267554,0.9739922881126404
3,train,0.02642911486327648,0.001259452779777348,0.035488769769849,0.976698637008667
4,train,0.020782267674803734,0.0007756985141895711,0.02785136467373854,0.9857455492019653
5,train,0.020842351019382477,0.00077603361569345,0.02785737991436829,0.9856318831443787
6,train,0.01647060364484787,0.0005043947021476924,0.02245873331574362,0.990717351436615
7,train,0.022411733865737915,0.0009048869833350182,0.030081339453804548,0.9832853078842163
8,train,0.022357100620865822,0.0008977366960607469,0.029962254522327703,0.9834591150283813
9,train,0.020136624574661255,0.0007229461916722357,0.026887658724259272,0.9867149591445923
10,train,0.017652366310358047,0.000569177616853267,0.023857443636175,0.9894989728927612
11,train,0.01746836118400097,0.0005693391431123018,0.023860828634234433,0.9895419478416443
12,train,0.024263272061944008,0.0010895247105509043,0.03300794920244068,0.9799275994300842
13,train,0.01843337155878544,0.0006179537740536034,0.02485867603179227,0.9885661602020264
14,train,0.02111731842160225,0.0008769071428105235,0.029612617966173194,0.9838239550590515
15,train,0.018152950331568718,0.0005970600177533925,0.024434811596437418,0.9890139698982239
16,train,0.02309596724808216,0.0009667826816439629,0.031093129170991506,0.9822165966033936
17,train,0.01716841384768486,0.0005427076830528677,0.023296087290634614,0.9899317622184753
18,train,0.022621937096118927,0.0009458079002797604,0.030753989989589323,0.982562780380249
19,train,0.02424529381096363,0.0010714459931477904,0.03273294965547392,0.9802756309509277
20,train,0.02306360751390457,0.0010338348802179098,0.03215330278863914,0.9809762835502625
21,train,0.023398375138640404,0.0010257671819999814,0.03202760031597718,0.9809741377830505
22,train,0.016336236149072647,0.0005057128728367388,0.022488060673093595,0.990673840045929
23,train,0.016889171674847603,0.000541035900823772,0.023260178434908275,0.9900519251823425
24,train,0.019499866291880608,0.0007101555238477886,0.026648743382151972,0.9869236350059509
25,valid,0.03905172273516655,0.003342520911246538,0.05781453892617789,0.939263641834259
26,valid,0.035651784390211105,0.0030019416008144617,0.054789977193045646,0.9445923566818237
27,valid,0.04081694409251213,0.0034756914246827364,0.05895499490868213,0.9350003600120544
28,valid,0.03853560611605644,0.0031780111603438854,0.05637385174301899,0.9421928524971008
29,valid,0.03545854985713959,0.0028989817947149277,0.05384219344264243,0.9458082914352417
30,valid,0.03478376567363739,0.00271040596999228,0.05206155942720387,0.9508368968963623
31,valid,0.03202300891280174,0.002387542277574539,0.04886248333409324,0.9556463360786438
32,valid,0.03652586042881012,0.0029755549039691687,0.054548647132345716,0.9455296993255615
33,valid,0.037305884063243866,0.003137558465823531,0.05601391314507076,0.9419639110565186
34,valid,0.0341993011534214,0.0027454516384750605,0.05239705753642145,0.948688805103302
35,valid,0.033122312277555466,0.002529091201722622,0.050290070607651984,0.9534821510314941
36,valid,0.03344407305121422,0.002591793891042471,0.050909664024058054,0.9514801502227783
37,valid,0.03744753077626228,0.0031427815556526184,0.056060516904971706,0.941864550113678
38,valid,0.03406168520450592,0.002791132079437375,0.05283116579669026,0.9492461085319519
39,valid,0.03540812060236931,0.0029061727691441774,0.0539089303283248,0.946510910987854
40,valid,0.03397238999605179,0.00271453894674778,0.05210123747808472,0.9495121240615845
41,valid,0.036830443888902664,0.002845038427039981,0.05333890162948597,0.9470394253730774
42,valid,0.032057590782642365,0.0025927734095603228,0.050919283278148396,0.9533206224441528
43,valid,0.03668966889381409,0.003145270748063922,0.05608271345132938,0.9419840574264526
44,valid,0.03744368255138397,0.002999959047883749,0.05477188190927667,0.9443367123603821
45,valid,0.03602427616715431,0.002853736514225602,0.05342037545942187,0.9469561576843262
46,valid,0.03757992386817932,0.0031451955437660217,0.05608204297068734,0.9433475136756897
47,valid,0.0330829918384552,0.0026603073347359896,0.05157816722932281,0.9509859681129456
48,valid,0.031394001096487045,0.002408680273219943,0.04907830756270985,0.9550909996032715
49,valid,0.03474269434809685,0.002878512954339385,0.053651774941183304,0.9466392397880554
