,subset,mae,mse,rmse,R2
0,train,0.05865206941962242,0.005507590714842081,0.07421314716339111,0.8980730175971985
1,train,0.02859116531908512,0.0014942680718377233,0.03865576535463333,0.9724550843238831
2,train,0.029871292412281036,0.0016518683405593038,0.04064318165183067,0.969649076461792
3,train,0.0302270520478487,0.0016187307192012668,0.04023345187306404,0.9700515866279602
4,train,0.031102867797017097,0.0017541933339089155,0.04188309237360954,0.9677643775939941
5,train,0.03284626454114914,0.0019282567081972957,0.04391191899776459,0.9642987251281738
6,train,0.02754601463675499,0.0013802972389385104,0.03715234994888306,0.9745975732803345
7,train,0.030731337144970894,0.0015950464876368642,0.03993803262710571,0.9705369472503662
8,train,0.029556261375546455,0.0015291831223294139,0.03910477086901665,0.9718247056007385
9,train,0.0350588783621788,0.002116251504048705,0.04600273445248604,0.9611112475395203
10,train,0.03295159712433815,0.0019164563855156302,0.04377735033631325,0.964642345905304
11,train,0.02751171961426735,0.0013439817121252418,0.03666035458445549,0.9753127098083496
12,train,0.02791040763258934,0.0013965191319584846,0.03737002983689308,0.974271833896637
13,train,0.03229366987943649,0.001795734278857708,0.04237610474228859,0.9667739272117615
14,train,0.04125790670514107,0.003211037954315543,0.056666020303964615,0.9407669305801392
15,train,0.027709022164344788,0.0013772605452686548,0.03711146116256714,0.9746581315994263
16,train,0.02698858082294464,0.0012974728597328067,0.03602045029401779,0.9761337637901306
17,train,0.045188672840595245,0.0035015700850635767,0.0591740645468235,0.9350391626358032
18,train,0.02925531566143036,0.0014965215232223272,0.0386849008500576,0.9724096655845642
19,train,0.027566544711589813,0.0014142527943477035,0.03760655224323273,0.9739648699760437
20,train,0.030577221885323524,0.0016677785897627473,0.04083844646811485,0.969310998916626
21,train,0.028676403686404228,0.0014718082966282964,0.03836415335536003,0.9727009534835815
22,train,0.029972657561302185,0.00157782225869596,0.039721809327602386,0.9709023237228394
23,train,0.03395640477538109,0.00200356706045568,0.04476122185587883,0.9631602168083191
24,train,0.027260994538664818,0.0013493396108970046,0.03673335909843445,0.9751541614532471
25,valid,0.06722068786621094,0.007559624500572681,0.08694609999656677,0.8626353740692139
26,valid,0.04335513710975647,0.003910918720066547,0.06253734230995178,0.9278151392936707
27,valid,0.04393436014652252,0.003965494688600302,0.06297217309474945,0.925840437412262
28,valid,0.04355788230895996,0.003905443474650383,0.062493547797203064,0.9289610981941223
29,valid,0.0456225723028183,0.004394646268337965,0.06629212945699692,0.9178493022918701
30,valid,0.04638347774744034,0.004242070484906435,0.06513117998838425,0.923054575920105
31,valid,0.0427807979285717,0.003802485065534711,0.06166429445147514,0.9293607473373413
32,valid,0.04561488702893257,0.0043358164839446545,0.06584692001342773,0.9206288456916809
33,valid,0.04476682469248772,0.004107004962861538,0.06408591568470001,0.9240319132804871
34,valid,0.04788632690906525,0.00463572982698679,0.06808619201183319,0.9133603572845459
35,valid,0.04697832465171814,0.0044066826812922955,0.06638284772634506,0.9189474582672119
36,valid,0.04234842583537102,0.0036992228124290705,0.06082123517990112,0.930748462677002
37,valid,0.04212921857833862,0.0037319203838706017,0.061089444905519485,0.9309666156768799
38,valid,0.046173401176929474,0.00437821913510561,0.06616811454296112,0.9203866124153137
39,valid,0.05214618518948555,0.005259050987660885,0.07251931726932526,0.903205394744873
40,valid,0.04322647675871849,0.0039306702092289925,0.06269505620002747,0.9268931746482849
41,valid,0.04096638411283493,0.0034153747837990522,0.05844120681285858,0.93642258644104
42,valid,0.05581732094287872,0.005897411610931158,0.07679460942745209,0.8938250541687012
43,valid,0.043361011892557144,0.004016435239464045,0.06337535381317139,0.9259150624275208
44,valid,0.042795270681381226,0.003826850326731801,0.061861541122198105,0.9289939999580383
45,valid,0.04405635967850685,0.003985400777310133,0.06313002854585648,0.9259213209152222
46,valid,0.043854255229234695,0.003992956131696701,0.06318984180688858,0.9280773401260376
47,valid,0.044685248285532,0.004121613223105669,0.0641997903585434,0.9240626096725464
48,valid,0.04623759165406227,0.0042078737169504166,0.06486812233924866,0.9215456247329712
49,valid,0.04257345572113991,0.003936433698982,0.0627410039305687,0.9270278811454773
